workdir/satlib/uf20-91/uf20-09,	1,	1,	0m0.092s,	0m0.087s,	0m0.003s,	0m0.080s,	0m0.077s,	0m0.000s,	97,	97
workdir/satlib/uf50-218/uf50-01000,	44,	44,	0m13.968s,	0m13.900s,	0m0.040s,	0m8.878s,	0m8.797s,	0m0.037s,	210,	203
workdir/satlib/uf50-218/uf50-0100,	1,	1,	0m6.703s,	0m6.650s,	0m0.040s,	0m9.501s,	0m9.417s,	0m0.050s,	211,	213
workdir/satlib/uf50-218/uf50-0101,	20,	20,	0m10.688s,	0m10.647s,	0m0.033s,	0m12.102s,	0m12.047s,	0m0.037s,	211,	215
workdir/satlib/uf50-218/uf50-0102,	51,	51,	0m20.907s,	0m20.823s,	0m0.050s,	0m8.739s,	0m8.683s,	0m0.027s,	207,	207
workdir/satlib/uf50-218/uf50-0103,	1280,	1280,	0m8.664s,	0m8.613s,	0m0.017s,	0m21.265s,	0m21.200s,	0m0.037s,	211,	204
workdir/satlib/uf50-218/uf50-0104,	40,	40,	0m12.308s,	0m12.267s,	0m0.040s,	0m15.726s,	0m15.660s,	0m0.033s,	209,	213
workdir/satlib/uf50-218/uf50-0105,	179,	179,	0m9.657s,	0m9.613s,	0m0.040s,	0m15.220s,	0m15.167s,	0m0.050s,	210,	202
workdir/satlib/uf50-218/uf50-0106,	6,	6,	0m8.630s,	0m8.577s,	0m0.023s,	0m5.931s,	0m5.843s,	0m0.053s,	211,	205
workdir/satlib/uf50-218/uf50-0107,	16,	16,	0m5.322s,	0m5.283s,	0m0.037s,	0m5.412s,	0m5.387s,	0m0.013s,	210,	212
workdir/satlib/uf50-218/uf50-0108,	269,	269,	0m4.937s,	0m4.913s,	0m0.020s,	0m13.691s,	0m13.617s,	0m0.040s,	208,	209
workdir/satlib/uf50-218/uf50-0109,	594,	594,	0m6.609s,	0m6.587s,	0m0.013s,	0m15.372s,	0m15.287s,	0m0.050s,	206,	202
workdir/satlib/uf50-218/uf50-010,	156,	156,	0m11.922s,	0m11.893s,	0m0.023s,	0m4.130s,	0m4.080s,	0m0.020s,	209,	208
workdir/satlib/uf50-218/uf50-0110,	66,	66,	0m13.915s,	0m13.853s,	0m0.037s,	0m5.278s,	0m5.257s,	0m0.017s,	208,	205
workdir/satlib/uf50-218/uf50-0111,	8,	8,	0m8.188s,	0m8.147s,	0m0.040s,	0m7.998s,	0m7.980s,	0m0.017s,	211,	211
workdir/satlib/uf50-218/uf50-0112,	18,	18,	0m4.415s,	0m4.397s,	0m0.017s,	0m3.240s,	0m3.187s,	0m0.020s,	203,	205
workdir/satlib/uf50-218/uf50-0113,	74,	74,	0m13.661s,	0m13.623s,	0m0.033s,	0m10.679s,	0m10.647s,	0m0.030s,	205,	209
workdir/satlib/uf50-218/uf50-0114,	1704,	1704,	0m14.168s,	0m14.123s,	0m0.033s,	0m14.159s,	0m14.120s,	0m0.037s,	208,	205
workdir/satlib/uf50-218/uf50-0115,	235,	235,	0m5.238s,	0m5.200s,	0m0.030s,	0m9.251s,	0m9.223s,	0m0.027s,	203,	207
workdir/satlib/uf50-218/uf50-0116,	288,	288,	0m12.359s,	0m12.277s,	0m0.067s,	0m16.848s,	0m16.783s,	0m0.030s,	214,	203
workdir/satlib/uf50-218/uf50-0117,	4913,	4913,	0m5.324s,	0m5.303s,	0m0.017s,	0m10.140s,	0m10.083s,	0m0.050s,	202,	201
workdir/satlib/uf50-218/uf50-0118,	15,	15,	0m21.182s,	0m21.117s,	0m0.053s,	0m6.063s,	0m6.030s,	0m0.030s,	211,	207
workdir/satlib/uf50-218/uf50-0119,	77,	77,	0m11.715s,	0m11.673s,	0m0.040s,	0m11.349s,	0m11.303s,	0m0.027s,	207,	210
workdir/satlib/uf50-218/uf50-011,	8,	8,	0m5.832s,	0m5.803s,	0m0.017s,	0m6.901s,	0m6.880s,	0m0.020s,	213,	206
workdir/satlib/uf50-218/uf50-0120,	8,	8,	0m2.711s,	0m2.673s,	0m0.010s,	0m17.036s,	0m17.017s,	0m0.013s,	199,	209
workdir/satlib/uf50-218/uf50-0121,	3,	3,	0m4.877s,	0m4.843s,	0m0.030s,	0m8.370s,	0m8.330s,	0m0.037s,	209,	204
workdir/satlib/uf50-218/uf50-0122,	357,	357,	0m24.605s,	0m24.537s,	0m0.067s,	0m8.419s,	0m8.397s,	0m0.020s,	213,	207
workdir/satlib/uf50-218/uf50-0123,	180,	180,	0m3.453s,	0m3.427s,	0m0.020s,	0m6.338s,	0m6.313s,	0m0.020s,	207,	216
workdir/satlib/uf50-218/uf50-0124,	61,	61,	0m21.311s,	0m21.243s,	0m0.057s,	0m12.015s,	0m11.967s,	0m0.047s,	206,	200
workdir/satlib/uf50-218/uf50-0125,	11,	11,	0m13.625s,	0m13.547s,	0m0.057s,	0m1.589s,	0m1.577s,	0m0.010s,	208,	204
workdir/satlib/uf50-218/uf50-0126,	61,	61,	0m14.195s,	0m14.150s,	0m0.043s,	0m14.388s,	0m14.357s,	0m0.030s,	210,	210
workdir/satlib/uf50-218/uf50-0127,	32,	32,	0m9.161s,	0m9.097s,	0m0.037s,	0m17.643s,	0m17.603s,	0m0.033s,	202,	200
workdir/satlib/uf50-218/uf50-0128,	12,	12,	0m6.463s,	0m6.400s,	0m0.027s,	0m10.277s,	0m10.243s,	0m0.030s,	206,	209
workdir/satlib/uf50-218/uf50-0129,	6,	6,	0m7.285s,	0m7.260s,	0m0.023s,	0m12.443s,	0m12.400s,	0m0.040s,	211,	202
workdir/satlib/uf50-218/uf50-012,	350,	350,	0m11.032s,	0m10.977s,	0m0.033s,	0m25.574s,	0m25.467s,	0m0.070s,	211,	213
workdir/satlib/uf50-218/uf50-0130,	16,	16,	0m7.801s,	0m7.780s,	0m0.020s,	0m16.459s,	0m16.400s,	0m0.053s,	202,	212
workdir/satlib/uf50-218/uf50-0131,	1834,	1834,	0m12.694s,	0m12.643s,	0m0.050s,	0m13.142s,	0m13.110s,	0m0.030s,	213,	206
workdir/satlib/uf50-218/uf50-0132,	372,	372,	0m14.536s,	0m14.477s,	0m0.047s,	0m7.768s,	0m7.713s,	0m0.053s,	201,	198
workdir/satlib/uf50-218/uf50-0133,	6,	6,	0m2.719s,	0m2.717s,	0m0.000s,	0m9.831s,	0m9.777s,	0m0.053s,	198,	205
workdir/satlib/uf50-218/uf50-0134,	8,	8,	0m6.898s,	0m6.860s,	0m0.037s,	0m13.682s,	0m13.657s,	0m0.013s,	198,	209
workdir/satlib/uf50-218/uf50-0135,	793,	793,	0m11.129s,	0m11.060s,	0m0.053s,	0m10.572s,	0m10.530s,	0m0.033s,	210,	205
workdir/satlib/uf50-218/uf50-0136,	11566,	11566,	0m23.749s,	0m23.683s,	0m0.053s,	0m13.068s,	0m13.047s,	0m0.020s,	200,	206
workdir/satlib/uf50-218/uf50-0137,	222,	222,	0m4.552s,	0m4.520s,	0m0.023s,	0m22.355s,	0m22.260s,	0m0.070s,	209,	212
workdir/satlib/uf50-218/uf50-0138,	30,	30,	0m21.232s,	0m21.170s,	0m0.060s,	0m11.993s,	0m11.927s,	0m0.043s,	207,	209
workdir/satlib/uf50-218/uf50-0139,	24,	24,	0m2.175s,	0m2.167s,	0m0.007s,	0m4.560s,	0m4.540s,	0m0.010s,	209,	205
workdir/satlib/uf50-218/uf50-013,	175,	175,	0m9.003s,	0m8.967s,	0m0.033s,	0m8.366s,	0m8.333s,	0m0.030s,	204,	201
workdir/satlib/uf50-218/uf50-0140,	239,	239,	0m13.989s,	0m13.940s,	0m0.040s,	0m13.165s,	0m13.100s,	0m0.040s,	205,	208
workdir/satlib/uf50-218/uf50-0141,	842,	842,	0m11.531s,	0m11.497s,	0m0.030s,	0m16.883s,	0m16.850s,	0m0.030s,	205,	204
workdir/satlib/uf50-218/uf50-0142,	12,	12,	0m14.230s,	0m14.153s,	0m0.050s,	0m16.143s,	0m16.077s,	0m0.063s,	211,	209
workdir/satlib/uf50-218/uf50-0143,	63,	63,	0m3.971s,	0m3.940s,	0m0.027s,	0m5.689s,	0m5.673s,	0m0.013s,	208,	209
